average_heartrate,average_temp,average_watts,date,device_watts,distance,elapsed_time,elevation_gain,kudos,moving_time,workout_type
100.6,21,73.8,2018-01-02 20:47:51+00:00,False,15.2,94,316.00 m,10,73,Ride
,24,131.7,2018-01-04 01:36:53+00:00,False,18.0,52,236.00 m,5,46,Ride
83.1,25,13.8,2018-01-04 02:56:00+00:00,False,0.0,3,0.00 m,2,2,Ride
110.1,24,113.6,2018-01-04 05:37:04+00:00,False,22.9,77,246.00 m,8,64,Ride
110.9,20,147.7,2018-01-05 19:22:46+00:00,True,58.4,189,676.00 m,12,144,Ride
127.3,27,217.0,2018-01-06 18:52:09+00:00,True,83.7,253,1437.00 m,17,206,Ride
,,172.7,2018-01-08 19:50:10+00:00,True,0.0,43,0.00 m,4,43,Workout
113.7,23,144.4,2018-01-10 20:59:07+00:00,False,28.9,648,726.00 m,11,125,Ride
118.8,22,142.2,2018-01-12 19:23:33+00:00,True,58.5,190,607.00 m,20,140,Ride
107.8,22,142.0,2018-01-16 21:00:44+00:00,False,28.8,673,691.00 m,10,124,Ride
116.6,13,144.4,2018-01-17 19:45:12+00:00,True,23.4,66,543.00 m,9,66,Workout
121.8,17,150.2,2018-01-19 19:17:48+00:00,True,60.3,199,641.00 m,17,143,Ride
104.1,16,152.0,2018-01-20 20:23:39+00:00,True,7.9,17,102.00 m,9,17,Ride
155.6,19,209.8,2018-01-20 20:43:44+00:00,True,34.5,58,448.00 m,17,56,Race
121.5,20,145.6,2018-01-24 20:34:18+00:00,True,24.0,66,458.60 m,6,64,Ride
89.7,22,120.3,2018-01-25 07:15:58+00:00,True,11.5,39,211.00 m,8,33,Ride
116.2,23,142.3,2018-01-26 19:24:08+00:00,True,57.8,196,656.00 m,17,139,Ride
120.6,21,153.4,2018-01-27 19:39:49+00:00,True,7.6,17,95.00 m,4,17,Ride
146.9,22,187.7,2018-01-27 20:01:32+00:00,True,38.6,67,449.00 m,19,67,Race
109.8,19,143.0,2018-01-31 21:13:34+00:00,False,26.3,649,612.00 m,6,113,Ride
119.3,19,165.9,2018-02-05 21:06:42+00:00,True,24.3,69,439.00 m,6,65,Ride
124.8,20,151.0,2018-02-07 06:59:05+00:00,True,47.1,144,890.00 m,10,134,Ride
123.0,20,145.9,2018-02-09 19:18:03+00:00,True,59.8,193,656.00 m,22,139,Ride
103.9,17,134.9,2018-02-10 20:21:37+00:00,True,7.8,19,92.00 m,8,18,Ride
152.1,19,198.9,2018-02-10 20:46:02+00:00,True,31.0,49,387.00 m,21,49,Race
113.3,25,141.4,2018-02-12 21:19:36+00:00,False,25.0,631,559.00 m,12,105,Ride
125.3,19,148.9,2018-02-14 20:07:12+00:00,True,47.8,143,922.00 m,6,132,Ride
,22,126.1,2018-02-15 07:18:46+00:00,True,8.9,29,191.00 m,5,25,Ride
124.9,20,159.6,2018-02-16 19:19:04+00:00,True,58.6,212,659.00 m,19,132,Ride
123.7,17,158.7,2018-02-17 19:06:26+00:00,True,20.1,49,244.00 m,8,46,Ride
142.5,18,272.5,2018-02-17 20:02:38+00:00,False,42.5,67,394.00 m,22,67,Race
106.4,22,118.3,2018-02-17 21:38:39+00:00,False,22.1,62,251.00 m,9,60,Ride
118.1,15,160.8,2018-02-21 20:03:53+00:00,True,46.6,130,904.00 m,8,124,Ride
,18,106.2,2018-02-22 09:43:31+00:00,True,8.9,33,195.00 m,4,30,Ride
121.8,19,141.2,2018-02-28 20:10:03+00:00,True,51.0,160,947.00 m,8,145,Ride
,20,124.1,2018-03-01 07:07:22+00:00,True,11.5,39,242.00 m,7,36,Ride
123.8,18,175.9,2018-03-02 19:19:12+00:00,True,60.1,195,615.00 m,14,141,Ride
117.2,17,177.3,2018-03-03 19:02:13+00:00,True,20.6,56,222.00 m,10,52,Ride
143.0,18,217.3,2018-03-03 20:02:23+00:00,True,15.5,32,175.00 m,15,28,Race
130.3,24,166.4,2018-03-03 21:55:24+00:00,True,32.7,85,279.00 m,14,82,Ride
102.9,17,128.1,2018-03-09 19:18:00+00:00,True,59.0,206,592.00 m,13,164,Ride
120.0,19,143.0,2018-03-16 19:14:15+00:00,True,61.4,213,582.00 m,18,155,Ride
117.3,14,196.1,2018-03-23 19:22:40+00:00,True,54.5,184,568.00 m,18,132,Ride
73.3,14,138.6,2018-03-24 20:15:33+00:00,True,10.0,25,119.00 m,6,23,Ride
153.6,16,200.2,2018-03-24 20:45:44+00:00,True,30.1,50,381.00 m,16,50,Race
,17,134.8,2018-03-26 21:25:03+00:00,False,24.5,645,565.00 m,7,108,Ride
111.3,24,121.6,2018-03-29 22:21:09+00:00,False,15.5,91,326.00 m,10,74,Ride
123.4,19,152.1,2018-03-30 19:19:57+00:00,True,61.6,204,593.00 m,16,141,Ride
119.2,19,147.5,2018-03-31 19:56:13+00:00,True,81.8,247,930.00 m,14,189,Ride
119.9,18,155.1,2018-04-04 21:19:15+00:00,True,47.0,133,889.00 m,11,125,Ride
,19,131.4,2018-04-05 08:12:13+00:00,True,9.0,34,193.00 m,6,29,Ride
123.5,18,165.8,2018-04-06 20:18:06+00:00,True,59.6,196,627.00 m,18,134,Ride
133.4,16,211.5,2018-04-07 20:50:24+00:00,True,19.8,55,234.00 m,8,52,Ride
141.8,17,223.7,2018-04-07 21:47:39+00:00,True,10.0,23,130.00 m,11,22,Race
106.6,25,148.7,2018-04-07 23:20:35+00:00,True,23.8,66,316.00 m,11,64,Ride
127.5,20,210.6,2018-04-13 20:21:14+00:00,True,39.5,125,410.00 m,17,88,Ride
134.0,19,141.6,2018-04-21 00:14:13+00:00,True,33.9,105,656.00 m,17,92,Ride
135.5,19,167.7,2018-04-21 23:04:53+00:00,True,108.2,248,1342.00 m,22,236,Ride
,15,123.6,2018-04-26 22:26:44+00:00,True,9.2,34,200.00 m,7,27,Ride
,13,133.2,2018-04-27 08:20:35+00:00,True,8.4,34,175.00 m,6,28,Ride
,,,2018-05-09 22:24:02+00:00,,3.1,35,42.10 m,6,33,Ride
114.8,14,164.2,2018-05-13 20:44:30+00:00,True,0.0,52,0.00 m,9,52,Workout
,14,156.1,2018-05-15 22:32:11+00:00,False,21.0,648,476.00 m,5,82,Ride
93.5,8,127.7,2018-05-18 20:17:42+00:00,True,59.6,203,615.00 m,16,151,Ride
,6,128.0,2018-05-19 20:01:48+00:00,True,58.9,207,610.00 m,13,153,Ride
138.5,11,188.2,2018-05-21 20:34:30+00:00,True,28.3,59,0.00 m,8,59,Workout
110.9,14,159.3,2018-05-23 22:22:53+00:00,False,20.9,617,471.00 m,9,81,Ride
126.5,7,158.0,2018-05-25 20:22:08+00:00,True,58.1,196,646.00 m,14,135,Ride
,3,189.6,2018-05-26 21:02:16+00:00,True,39.5,65,394.00 m,16,65,Race
135.4,10,185.6,2018-05-28 20:47:42+00:00,True,28.9,60,0.00 m,7,60,Workout
126.1,11,155.4,2018-05-30 21:44:52+00:00,False,24.3,644,617.00 m,7,101,Ride
123.8,10,156.8,2018-06-01 20:20:09+00:00,True,59.7,189,662.00 m,16,142,Ride
109.5,8,117.3,2018-06-02 20:46:08+00:00,True,4.9,13,63.00 m,7,13,Ride
146.3,8,196.2,2018-06-02 21:02:59+00:00,True,42.5,71,503.00 m,18,71,Race
139.3,11,191.1,2018-06-04 20:50:03+00:00,True,35.8,73,0.00 m,11,73,Workout
111.1,4,193.2,2018-06-22 20:18:19+00:00,True,50.5,190,394.00 m,12,128,Ride
,,,2018-07-03 11:25:03+00:00,,4.1,49,64.70 m,7,48,Ride
,,,2018-07-07 13:11:27+00:00,,0.3,8,10.40 m,4,6,Ride
,,47.6,2018-07-15 02:44:53+00:00,False,2.2,13,15.80 m,14,11,Ride
127.2,6,132.8,2018-07-20 20:25:51+00:00,True,57.8,195,630.00 m,20,144,Ride
,,132.5,2018-07-22 22:26:18+00:00,False,9.3,36,191.30 m,15,32,Ride
126.4,5,137.5,2018-07-27 20:21:50+00:00,True,58.7,197,679.00 m,16,150,Ride
122.3,12,131.6,2018-07-28 20:06:13+00:00,True,64.2,218,786.00 m,14,162,Ride
125.0,10,161.0,2018-08-01 20:41:09+00:00,True,22.0,52,0.00 m,6,52,Workout
116.7,16,136.5,2018-08-02 23:12:15+00:00,False,10.1,60,238.00 m,7,46,Ride
,9,138.3,2018-08-03 20:17:56+00:00,True,59.2,206,740.00 m,19,149,Ride
112.2,14,129.3,2018-08-04 23:16:35+00:00,False,12.8,75,297.00 m,13,59,Ride
128.3,9,139.7,2018-08-09 22:16:02+00:00,False,12.4,70,275.00 m,7,53,Ride
135.3,9,229.0,2018-08-10 20:15:14+00:00,True,43.9,110,572.00 m,14,102,Ride
113.9,12,124.9,2018-08-16 22:08:54+00:00,False,12.3,94,275.00 m,8,58,Ride
122.5,,130.8,2018-08-23 21:10:39+00:00,False,19.6,63,274.70 m,12,57,Ride
,13,153.8,2018-08-29 22:32:00+00:00,False,22.6,625,553.00 m,12,92,Ride
122.1,11,208.8,2018-08-31 20:10:31+00:00,True,61.6,209,710.00 m,17,153,Ride
144.4,6,203.7,2018-09-01 21:44:17+00:00,True,24.2,45,326.00 m,17,44,Race
121.1,10,176.1,2018-09-07 20:20:00+00:00,True,55.6,174,586.60 m,16,140,Ride
117.8,17,149.5,2018-09-12 22:16:11+00:00,False,20.1,666,468.00 m,8,82,Ride
127.9,10,157.2,2018-09-14 20:15:05+00:00,True,43.4,110,540.00 m,18,100,Ride
,,,2018-09-20 08:58:27+00:00,,4.8,112,48.60 m,9,51,Ride
121.9,16,120.6,2018-09-24 07:24:14+00:00,False,9.2,35,193.00 m,6,30,Ride
132.1,16,138.9,2018-09-25 13:06:49+00:00,False,24.6,89,581.00 m,10,77,Ride
129.3,19,136.3,2018-09-26 14:19:47+00:00,False,29.8,101,617.00 m,15,86,Ride
100.8,,135.3,2018-10-08 19:31:47+00:00,True,11.5,30,0.00 m,6,30,Ride
118.4,,162.3,2018-10-08 20:30:09+00:00,True,10.8,24,0.00 m,5,24,Ride
129.9,,158.7,2018-10-10 19:12:02+00:00,True,27.3,57,0.00 m,8,57,Ride
110.1,,198.4,2018-10-13 20:03:21+00:00,True,31.7,75,0.00 m,9,75,Ride
117.8,,200.6,2018-10-15 19:22:44+00:00,True,25.4,60,0.00 m,5,60,Ride
110.8,,185.7,2018-10-17 19:36:28+00:00,True,28.6,75,0.00 m,7,75,Workout
124.9,17,157.9,2018-10-19 19:20:52+00:00,True,59.7,201,680.00 m,22,139,Ride
132.0,,157.8,2018-10-22 19:29:25+00:00,True,27.5,60,0.00 m,8,60,Ride
130.7,,172.0,2018-10-24 19:30:29+00:00,True,35.9,75,0.00 m,7,75,Ride
120.6,15,144.7,2018-10-26 19:17:48+00:00,True,54.8,197,659.00 m,18,134,Ride
126.1,15,160.5,2018-10-27 19:09:36+00:00,True,79.8,248,1394.00 m,23,193,Ride
103.5,,136.8,2018-10-29 19:35:01+00:00,True,24.4,60,0.00 m,10,60,Ride
120.5,21,145.7,2018-10-30 21:02:11+00:00,False,23.3,662,540.00 m,10,97,Ride
111.3,20,129.3,2018-10-31 21:33:47+00:00,True,9.2,35,209.00 m,6,32,Ride
