Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066212,2018,01,01,30.9,1,Y
IDCJAC0010,066212,2018,01,02,28.8,1,Y
IDCJAC0010,066212,2018,01,03,25.3,1,Y
IDCJAC0010,066212,2018,01,04,25.4,1,Y
IDCJAC0010,066212,2018,01,05,28.9,1,Y
IDCJAC0010,066212,2018,01,06,33.9,1,Y
IDCJAC0010,066212,2018,01,07,44.5,1,Y
IDCJAC0010,066212,2018,01,08,37.1,1,Y
IDCJAC0010,066212,2018,01,09,32.3,1,Y
IDCJAC0010,066212,2018,01,10,24.8,1,Y
IDCJAC0010,066212,2018,01,11,25.4,1,Y
IDCJAC0010,066212,2018,01,12,30.8,1,Y
IDCJAC0010,066212,2018,01,13,34.5,1,Y
IDCJAC0010,066212,2018,01,14,24.1,1,Y
IDCJAC0010,066212,2018,01,15,26.2,1,Y
IDCJAC0010,066212,2018,01,16,23.2,1,Y
IDCJAC0010,066212,2018,01,17,24.9,1,Y
IDCJAC0010,066212,2018,01,18,30.1,1,Y
IDCJAC0010,066212,2018,01,19,33.5,1,Y
IDCJAC0010,066212,2018,01,20,34.9,1,Y
IDCJAC0010,066212,2018,01,21,32.1,1,Y
IDCJAC0010,066212,2018,01,22,35.8,1,Y
IDCJAC0010,066212,2018,01,23,29.7,1,Y
IDCJAC0010,066212,2018,01,24,31.3,1,Y
IDCJAC0010,066212,2018,01,25,28.6,1,Y
IDCJAC0010,066212,2018,01,26,29.5,1,Y
IDCJAC0010,066212,2018,01,27,30.4,1,Y
IDCJAC0010,066212,2018,01,28,30.7,1,Y
IDCJAC0010,066212,2018,01,29,31.0,1,Y
IDCJAC0010,066212,2018,01,30,33.0,1,Y
IDCJAC0010,066212,2018,01,31,21.7,1,Y
IDCJAC0010,066212,2018,02,01,24.3,1,Y
IDCJAC0010,066212,2018,02,02,23.9,1,Y
IDCJAC0010,066212,2018,02,03,25.4,1,Y
IDCJAC0010,066212,2018,02,04,25.7,1,Y
IDCJAC0010,066212,2018,02,05,27.4,1,Y
IDCJAC0010,066212,2018,02,06,28.2,1,Y
IDCJAC0010,066212,2018,02,07,28.1,1,Y
IDCJAC0010,066212,2018,02,08,32.3,1,Y
IDCJAC0010,066212,2018,02,09,31.9,1,Y
IDCJAC0010,066212,2018,02,10,30.3,1,Y
IDCJAC0010,066212,2018,02,11,31.3,1,Y
IDCJAC0010,066212,2018,02,12,28.9,1,Y
IDCJAC0010,066212,2018,02,13,28.6,1,Y
IDCJAC0010,066212,2018,02,14,39.1,1,Y
IDCJAC0010,066212,2018,02,15,29.5,1,Y
IDCJAC0010,066212,2018,02,16,31.1,1,Y
IDCJAC0010,066212,2018,02,17,29.2,1,Y
